PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_IPM,D_IPM,IPM,IPM_POSS,WPA
1631094,Paolo Banchero,1610612753,ORL,22.0,Regular Season,46,34.4,0.457,25.9,7.5,1.1,6.4,4.8,0.8,0.6,3.0,2.1,0.452,0.32,0.727,0.5,0.551,0.33,0.262,1.61,15.3,9.5,0.031,0.192,0.108,109.1,109.6,-0.6,97.29,0.157,-0.5,107.5,108.4,-0.9,0.337,-0.6,0.9,-1.5,-8.0,82.77166666666666,2.37,-0.01,2.36,1.87,0.5229,-0.0201,906.0,8.7,49.4,-0.37,-0.34,-0.71,6409.0,-0.38,-0.34,-0.72,6409.0,30.59
1627759,Jaylen Brown,1610612738,BOS,28.0,Regular Season,63,34.3,0.73,22.2,5.8,1.3,4.5,4.5,1.2,0.3,2.6,2.4,0.463,0.324,0.764,0.515,0.555,0.282,0.204,1.77,16.8,9.5,0.037,0.126,0.082,121.1,111.7,9.5,98.57,0.114,6.4,119.6,110.2,9.4,0.287,9.5,9.7,-0.2,14.3,98.29,0.12,-0.14,-0.01,1.08,0.5308,-0.0155,1118.0,6.9,41.9,2.69,-0.84,1.85,8916.0,1.42,-0.59,0.83,8916.0,32.17
1631099,Keegan Murray,1610612758,SAC,24.0,Regular Season,76,34.3,0.474,12.4,6.7,1.9,4.8,1.4,0.8,0.9,0.8,2.4,0.444,0.343,0.833,0.538,0.553,0.148,0.055,1.82,10.7,5.9,0.056,0.134,0.095,114.8,113.4,1.5,100.09,0.075,0.6,113.5,112.7,0.8,0.151,1.5,-1.0,2.5,7.9,142.63333333333333,-1.05,-0.76,-1.81,0.13,0.5388,-0.0004,819.0,0.9,18.9,-0.32,1.03,0.71,10886.0,-0.76,0.49,-0.27,10886.0,22.61
1628389,Bam Adebayo,1610612748,MIA,27.0,Regular Season,78,34.3,0.462,18.1,9.6,2.4,7.2,4.3,1.3,0.7,2.1,2.1,0.485,0.357,0.765,0.521,0.561,0.232,0.204,2.09,19.2,9.2,0.069,0.214,0.141,110.9,110.8,0.1,97.02,0.137,0.3,110.2,110.6,-0.4,0.237,0.1,0.7,-0.6,-17.2,186.21,1.06,1.11,2.17,2.54,0.5122,0.0084,1113.0,5.6,34.9,-0.13,0.74,0.61,10727.0,-0.47,0.86,0.39,10727.0,34.07
1641706,Brandon Miller,1610612766,CHA,22.0,Regular Season,27,34.2,0.296,21.0,4.9,0.9,3.9,3.6,1.1,0.7,2.8,2.7,0.403,0.355,0.861,0.509,0.54,0.27,0.182,1.29,14.0,10.9,0.024,0.117,0.068,106.9,113.8,-6.8,98.77,0.1,-4.6,104.4,112.6,-8.2,0.275,-6.8,-9.6,2.8,-5.3,69.31333333333333,0.56,-1.26,-0.69,0.32,0.5245,-0.0111,487.0,5.8,39.6,-1.3,0.06,-1.24,3822.0,-1.3,-0.26,-1.56,3822.0,16.16
203507,Giannis Antetokounmpo,1610612749,MIL,30.0,Regular Season,67,34.2,0.597,30.4,11.9,2.2,9.7,6.5,0.9,1.2,3.1,2.3,0.601,0.222,0.617,0.607,0.625,0.346,0.339,2.1,19.2,9.1,0.067,0.266,0.172,118.9,111.7,7.2,100.18,0.21,5.0,117.7,110.4,7.3,0.352,7.2,-3.8,11.0,22.1,114.61666666666666,7.24,2.76,10.0,6.57,0.5671,0.0399,1318.0,7.9,51.0,4.19,1.62,5.81,9570.0,3.74,1.19,4.93,9570.0,47.16
1629018,Gary Trent Jr.,1610612749,MIL,26.0,Playoffs,5,34.2,0.2,18.8,2.2,0.2,2.0,1.2,2.6,0.0,0.6,1.8,0.516,0.5,0.8,0.694,0.708,0.174,0.055,2.0,8.1,4.1,0.006,0.059,0.032,111.2,114.7,-3.5,98.46,0.109,-3.6,112.0,113.4,-1.4,0.181,-3.5,-16.0,12.5,-24.7,12.166666666666666,3.37,1.14,4.51,0.28,0.5171,0.1878,61.0,2.1,22.7,,,,,,,,,
1628983,Shai Gilgeous-Alexander,1610612760,OKC,26.0,Regular Season,76,34.2,0.829,32.7,5.0,0.9,4.1,6.4,1.7,1.0,2.4,2.2,0.519,0.375,0.898,0.569,0.637,0.336,0.299,2.66,18.7,7.0,0.025,0.112,0.069,122.4,105.7,16.7,101.91,0.199,12.1,120.6,104.7,16.0,0.345,16.7,5.2,11.5,17.3,62.1,8.48,2.52,11.0,8.57,0.5172,0.0517,1655.0,13.6,55.0,4.64,2.22,6.86,11093.0,5.0,1.84,6.84,11093.0,51.58
1628991,Jaren Jackson Jr.,1610612763,MEM,25.0,Playoffs,4,34.2,0.0,16.0,5.0,2.3,2.8,1.5,1.0,0.5,2.8,3.5,0.379,0.273,0.85,0.405,0.479,0.231,0.072,0.55,7.1,12.9,0.059,0.074,0.066,100.3,118.9,-18.5,103.95,0.049,-14.0,98.8,118.6,-19.8,0.235,-18.5,-18.0,-0.5,-42.0,5.975,-4.0,-3.43,-7.43,-0.18,0.4833,-0.0781,58.0,1.8,29.2,,,,,,,,,
1626181,Norman Powell,1610612746,LAC,32.0,Playoffs,7,34.0,0.429,16.0,2.4,0.1,2.3,2.4,1.1,0.3,1.7,2.1,0.472,0.35,0.778,0.551,0.578,0.208,0.108,1.42,13.6,9.6,0.004,0.07,0.037,112.4,119.3,-6.8,92.45,0.075,-4.1,112.8,115.7,-2.9,0.214,-6.8,15.2,-22.0,10.0,16.046666666666667,-1.2,-2.2,-3.4,-0.08,0.5301,0.0204,89.0,3.3,28.8,,,,,,,,,
