PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_IPM,D_IPM,IPM,POSS,SEASON,SEASON_TYPE
204456,T. McConnell,IND,0.08,-0.69,-0.61,6021,2024-25,Regular Season
1631110,J. Sochan,SAS,-0.43,-0.22,-0.65,5765,2024-25,Regular Season
1630249,V. Krejčí,ATL,-0.74,0.07,-0.67,4899,2024-25,Regular Season
202704,R. Jackson,PHI,-0.57,-0.11,-0.68,1555,2024-25,Regular Season
1630570,T. Watford,BKN,-1.11,0.42,-0.69,3680,2024-25,Regular Season
1631230,D. Barlow,ATL,-0.49,-0.2,-0.69,1613,2024-25,Regular Season
1630811,K. Wallace,ATL,-1.07,0.37,-0.7,2105,2024-25,Regular Season
1631127,H. Ingram,SAS,-0.64,-0.06,-0.7,150,2024-25,Regular Season
1631169,J. Minott,MIN,-0.81,0.1,-0.71,1177,2024-25,Regular Season
1631342,D. Plowden,ATL,-0.59,-0.12,-0.71,291,2024-25,Regular Season
1631094,P. Banchero,ORL,-0.38,-0.34,-0.72,6409,2024-25,Regular Season
1629626,B. Bol,PHX,-0.23,-0.5,-0.73,1881,2024-25,Regular Season
1641715,C. Whitmore,HOU,0.05,-0.78,-0.73,3461,2024-25,Regular Season
203926,D. McDermott,SAC,-0.12,-0.62,-0.74,1401,2024-25,Regular Season
1627777,G. Niang,CLE,0.74,-1.5,-0.76,7219,2024-25,Regular Season
1630703,S. Henderson,POR,0.28,-1.05,-0.77,7413,2024-25,Regular Season
1631306,C. Swider,TOR,-0.74,-0.03,-0.77,738,2024-25,Regular Season
2544,L. James,LAL,0.49,-1.26,-0.77,10179,2024-25,Regular Season
201569,E. Gordon,PHI,-0.28,-0.49,-0.77,3184,2024-25,Regular Season
1631107,N. Jović,MIA,-0.59,-0.19,-0.78,4696,2024-25,Regular Season
1628960,G. Allen,PHX,1.13,-1.91,-0.78,6381,2024-25,Regular Season
1629632,C. White,CHI,0.22,-1.01,-0.79,10687,2024-25,Regular Season
1642352,K. Johnson,MIA,-0.65,-0.14,-0.79,412,2024-25,Regular Season
1629130,D. Robinson,MIA,-0.72,-0.08,-0.8,7196,2024-25,Regular Season
1630175,C. Anthony,ORL,-0.85,0.05,-0.8,4990,2024-25,Regular Season
1630543,I. Jackson,IND,-0.76,-0.04,-0.8,362,2024-25,Regular Season
1641824,M. Buzelis,CHI,-0.9,0.1,-0.8,6589,2024-25,Regular Season
1631108,M. Christie,LAL,0.05,-0.86,-0.81,8838,2024-25,Regular Season
1631104,B. Wesley,SAS,-0.65,-0.17,-0.82,2841,2024-25,Regular Season
203954,J. Embiid,PHI,-1.16,0.34,-0.82,2385,2024-25,Regular Season
1642050,J. Rowe,GSW,-0.61,-0.21,-0.82,232,2024-25,Regular Season
1627763,M. Brogdon,WAS,-0.17,-0.66,-0.83,2394,2024-25,Regular Season
1631097,B. Mathurin,IND,-0.37,-0.47,-0.84,9038,2024-25,Regular Season
1630165,K. Hayes,BKN,-0.47,-0.37,-0.84,683,2024-25,Regular Season
1630192,Z. Nnaji,DEN,-1.59,0.74,-0.85,2552,2024-25,Regular Season
1630560,C. Thomas,BKN,0.65,-1.5,-0.85,3152,2024-25,Regular Season
1641890,T. Smith,MIL,-0.73,-0.14,-0.87,509,2024-25,Regular Season
1641767,B. Sheppard,IND,-0.26,-0.62,-0.88,5177,2024-25,Regular Season
1630561,D. Duke Jr.,SAS,-0.66,-0.23,-0.89,145,2024-25,Regular Season
1642278,T. Kolek,NYK,-0.87,-0.02,-0.89,1225,2024-25,Regular Season
203939,D. Powell,DAL,-0.91,0.02,-0.89,2292,2024-25,Regular Season
1629216,G. Vincent,LAL,-0.92,0.03,-0.89,6320,2024-25,Regular Season
201599,D. Jordan,DEN,-1.47,0.57,-0.9,2872,2024-25,Regular Season
1630288,J. Dowtin Jr.,PHI,-0.34,-0.56,-0.9,2554,2024-25,Regular Season
1626153,D. Wright,MIL,-1.77,0.86,-0.91,2579,2024-25,Regular Season
1630568,L. Garza,MIN,-0.4,-0.53,-0.93,934,2024-25,Regular Season
1630230,N. Marshall,DAL,-0.33,-0.61,-0.94,8094,2024-25,Regular Season
1629643,C. Okeke,CLE,-0.23,-0.72,-0.95,805,2024-25,Regular Season
203957,D. Exum,DAL,-0.69,-0.27,-0.96,1562,2024-25,Regular Season
1642384,I. Crawford,SAC,-0.68,-0.28,-0.96,176,2024-25,Regular Season
1631172,O. Dieng,OKC,-1.82,0.86,-0.96,1726,2024-25,Regular Season
1631116,P. Baldwin Jr.,WAS,-0.48,-0.48,-0.96,451,2024-25,Regular Season
1631248,B. Scheierman,BOS,-0.99,0.03,-0.96,1492,2024-25,Regular Season
1630537,C. Duarte,CHI,-0.6,-0.37,-0.97,320,2024-25,Regular Season
1642368,N. Dante,HOU,-0.52,-0.45,-0.97,220,2024-25,Regular Season
1641790,P. Hall,DEN,-0.88,-0.1,-0.98,254,2024-25,Regular Season
1630545,T. Shannon Jr.,MIN,-0.83,-0.16,-0.99,1432,2024-25,Regular Season
1630577,J. Champagnie,SAS,-0.32,-0.67,-0.99,8201,2024-25,Regular Season
201567,K. Love,MIA,-1.03,0.03,-1.0,1078,2024-25,Regular Season
1630322,L. Waters III,GSW,-0.66,-0.34,-1.0,3204,2024-25,Regular Season
1641787,T. Evbuomwan,BKN,-1.26,0.26,-1.0,2689,2024-25,Regular Season
1629012,C. Sexton,UTA,0.26,-1.27,-1.01,7400,2024-25,Regular Season
1628467,M. Kleber,DAL,-1.03,0.02,-1.01,2676,2024-25,Regular Season
1631098,J. Davis,WAS,-1.24,0.23,-1.01,1056,2024-25,Regular Season
1629628,R. Barrett,TOR,-0.2,-0.81,-1.01,7994,2024-25,Regular Season
1642366,Q. Post,GSW,-0.56,-0.46,-1.02,2805,2024-25,Regular Season
1641752,B. Klintman,DET,-0.54,-0.49,-1.03,165,2024-25,Regular Season
1629726,G. Mathews,ATL,-0.86,-0.19,-1.05,3596,2024-25,Regular Season
1630538,B. Hyland,LAC,-0.9,-0.15,-1.05,969,2024-25,Regular Season
1628368,D. Fox,SAC,-0.08,-0.98,-1.06,9545,2024-25,Regular Season
1630631,J. Alvarado,NOP,-0.62,-0.45,-1.07,5684,2024-25,Regular Season
1628464,D. Theis,NOP,-0.96,-0.11,-1.07,2663,2024-25,Regular Season
1631132,C. Koloko,LAL,-1.33,0.26,-1.07,1409,2024-25,Regular Season
1630222,M. Jones,SAC,-0.63,-0.45,-1.08,180,2024-25,Regular Season
1626162,K. Oubre Jr.,PHI,-0.75,-0.33,-1.08,8559,2024-25,Regular Season
1630534,O. Agbaji,TOR,-1.64,0.56,-1.08,7388,2024-25,Regular Season
1630530,T. Murphy III,NOP,-0.26,-0.83,-1.09,7884,2024-25,Regular Season
1626168,T. Lyles,SAC,-0.76,-0.33,-1.09,5598,2024-25,Regular Season
1631214,A. Williams,DET,-0.71,-0.39,-1.1,13,2024-25,Regular Season
1631216,C. Houstan,ORL,-1.03,-0.08,-1.11,3148,2024-25,Regular Season
1642266,J. Walter,TOR,-0.6,-0.51,-1.11,4605,2024-25,Regular Season
1630201,M. Flynn,CHA,-0.81,-0.3,-1.11,173,2024-25,Regular Season
1629003,S. Milton,BKN,-0.51,-0.6,-1.11,3392,2024-25,Regular Season
203468,C. McCollum,NOP,0.61,-1.72,-1.11,7768,2024-25,Regular Season
1630692,J. Goodwin,LAL,-0.89,-0.25,-1.14,2209,2024-25,Regular Season
