PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1630167,O. Toppin,IND,2.71,-1.56,1.15,16022,2025-26,Regular Season
1642271,K. Filipowski,UTA,1.59,-0.45,1.14,14252,2025-26,Regular Season
1630168,O. Okongwu,ATL,0.62,0.52,1.14,24959,2025-26,Regular Season
1630543,I. Jackson,IND,0.63,0.5,1.13,7519,2025-26,Regular Season
1630679,E. Thompson,IND,0.49,0.64,1.13,2726,2025-26,Regular Season
1642264,S. Castle,SAS,0.64,0.49,1.13,17804,2025-26,Regular Season
1629048,G. Bitadze,ORL,0.07,1.06,1.13,13746,2025-26,Regular Season
203496,R. Covington,PHI,0.2,0.91,1.11,2005,2025-26,Regular Season
1630692,J. Goodwin,PHX,-0.04,1.12,1.08,13008,2025-26,Regular Season
1628415,D. Brooks,PHX,-0.3,1.37,1.07,26396,2025-26,Regular Season
1642024,A. Reese,PHI,0.93,0.13,1.06,939,2025-26,Regular Season
1630230,N. Marshall,DAL,0.53,0.52,1.05,22754,2025-26,Regular Season
202696,N. Vučević,CHI,0.86,0.19,1.05,28208,2025-26,Regular Season
1631197,J. Rhoden,TOR,0.71,0.32,1.03,1973,2025-26,Regular Season
1642885,M. Diawara,NYK,0.25,0.76,1.01,2561,2025-26,Regular Season
1631165,K. Ellis,SAC,0.29,0.69,0.98,18181,2025-26,Regular Season
1627751,J. Poeltl,TOR,-0.16,1.13,0.97,17648,2025-26,Regular Season
1641717,C. Wallace,OKC,-0.8,1.77,0.97,23702,2025-26,Regular Season
1642867,C. Murray-Boyles,TOR,-0.47,1.44,0.97,5134,2025-26,Regular Season
1641740,J. Clark,MIN,0.67,0.28,0.95,5963,2025-26,Regular Season
1641772,N. Tomlin,CLE,0.11,0.84,0.95,4497,2025-26,Regular Season
1642400,T. Enaruna,CLE,0.52,0.43,0.95,351,2025-26,Regular Season
1642434,R. Minix,CLE,0.84,0.1,0.94,287,2025-26,Regular Season
1631114,J. Williams,OKC,0.29,0.64,0.93,23007,2025-26,Regular Season
1628372,D. Smith Jr.,BKN,0.11,0.82,0.93,4318,2025-26,Regular Season
1642270,D. Clingan,POR,-0.02,0.94,0.92,14475,2025-26,Regular Season
1631255,K. Matković,NOP,-1.1,2.02,0.92,7189,2025-26,Regular Season
1631245,Q. Jackson,IND,-0.03,0.95,0.92,5570,2025-26,Regular Season
1631117,W. Kessler,UTA,-0.45,1.34,0.89,14183,2025-26,Regular Season
1631323,S. Fontecchio,MIA,0.51,0.37,0.88,17456,2025-26,Regular Season
1629618,J. Pickett,DEN,0.04,0.84,0.88,6453,2025-26,Regular Season
1641763,J. Phillips,CHI,0.5,0.37,0.87,7957,2025-26,Regular Season
203110,D. Green,GSW,-0.87,1.73,0.86,22559,2025-26,Regular Season
1628960,G. Allen,PHX,2.47,-1.62,0.85,22872,2025-26,Regular Season
1642948,R. Nembhard,DAL,0.59,0.25,0.84,4931,2025-26,Regular Season
1626158,R. Holmes,WAS,0.57,0.26,0.83,4579,2025-26,Regular Season
1630598,A. Wiggins,OKC,1.07,-0.25,0.82,18414,2025-26,Regular Season
1642278,T. Kolek,NYK,-0.76,1.57,0.81,4234,2025-26,Regular Season
1629020,J. Vanderbilt,LAL,1.05,-0.26,0.79,9583,2025-26,Regular Season
1629008,M. Porter Jr.,BKN,1.85,-1.08,0.77,28360,2025-26,Regular Season
1642346,R. Dunn,PHX,-0.75,1.52,0.77,11203,2025-26,Regular Season
1626168,T. Lyles,SAC,0.29,0.48,0.77,10437,2025-26,Regular Season
1630551,J. Champagnie,WAS,1.49,-0.73,0.76,12644,2025-26,Regular Season
203484,K. Caldwell-Pope,MEM,-0.85,1.6,0.75,23671,2025-26,Regular Season
1631159,L. Miller,MIN,1.0,-0.26,0.74,3516,2025-26,Regular Season
1642461,S. Jones,DEN,-0.49,1.22,0.73,6360,2025-26,Regular Season
1629312,H. Highsmith,PHX,-0.54,1.24,0.7,13209,2025-26,Regular Season
204001,K. Porziņģis,ATL,0.31,0.39,0.7,15383,2025-26,Regular Season
201569,E. Gordon,PHI,0.38,0.31,0.69,11398,2025-26,Regular Season
1631095,J. Smith Jr.,HOU,-0.34,1.02,0.68,28286,2025-26,Regular Season
1630561,D. Duke Jr.,SAS,0.46,0.22,0.68,362,2025-26,Regular Season
1642277,J. Furphy,IND,0.37,0.31,0.68,4306,2025-26,Regular Season
1630581,J. Giddey,CHI,1.38,-0.71,0.67,25261,2025-26,Regular Season
1631306,C. Swider,TOR,0.34,0.33,0.67,1079,2025-26,Regular Season
1631248,B. Scheierman,BOS,0.01,0.65,0.66,7208,2025-26,Regular Season
1630568,L. Garza,BOS,1.5,-0.86,0.64,5982,2025-26,Regular Season
1628366,L. Ball,CLE,-0.75,1.39,0.64,6561,2025-26,Regular Season
1630846,O. Sarr,CLE,0.48,0.14,0.62,578,2025-26,Regular Season
203933,T. Warren,MIN,0.08,0.54,0.62,540,2025-26,Regular Season
1629622,M. Strus,CLE,0.09,0.52,0.61,15904,2025-26,Regular Season
1642530,Y. Kawamura,CHI,1.08,-0.48,0.6,1311,2025-26,Regular Season
1631200,K. Murray,POR,-1.35,1.95,0.6,15623,2025-26,Regular Season
1626167,M. Turner,MIL,-0.45,1.04,0.59,25935,2025-26,Regular Season
1631107,N. Jović,MIA,-0.78,1.37,0.59,11936,2025-26,Regular Season
1630578,A. Sengun,HOU,1.15,-0.57,0.58,28214,2025-26,Regular Season
1630590,S. Pippen Jr.,MEM,-0.98,1.54,0.56,10484,2025-26,Regular Season
2544,L. James,LAL,0.97,-0.41,0.56,29044,2025-26,Regular Season
1642877,M. Peavy,NOP,0.6,-0.05,0.55,3882,2025-26,Regular Season
1641775,J. Walsh,BOS,1.41,-0.88,0.53,6746,2025-26,Regular Season
1629645,K. Porter Jr.,MIL,-0.74,1.26,0.52,11371,2025-26,Regular Season
1627732,B. Simmons,BKN,0.27,0.24,0.51,6071,2025-26,Regular Season
203469,C. Zeller,NOP,0.44,0.07,0.51,1377,2025-26,Regular Season
1628404,J. Hart,NYK,0.45,0.05,0.5,30909,2025-26,Regular Season
