GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,PLUS_MINUS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,POSS,EFG_PCT,TS_PCT,AST_RATIO,AST_PCT,AST_TO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,PIE,SEASON_TYPE,team,team_id,players_list
Lineups,-203109-203497-1628378-,J. Crowder - R. Gobert - D. Mitchell,11,5,6,0.455,184.641667,-72.0,133.0,316.0,0.421,32.0,116.0,0.276,45.0,71.0,0.634,33.0,133.0,166.0,65.0,65.0,24.0,22.0,343.0,88.9,106.7,-17.8,100.74,386,0.472,0.494,13.2,0.489,1.0,0.227,0.708,0.474,0.168,0.378,Playoffs,UTA,1610612762,"[""J. Crowder"", ""R. Gobert"", ""D. Mitchell""]"
Lineups,-201586-201942-1628384-,S. Ibaka - D. DeRozan - O. Anunoby,10,4,6,0.4,184.573333,2.0,162.0,311.0,0.521,42.0,88.0,0.477,70.0,87.0,0.805,35.0,116.0,151.0,103.0,67.0,27.0,22.0,436.0,115.3,115.7,-0.4,97.91,378,0.588,0.624,19.7,0.636,1.54,0.292,0.697,0.509,0.177,0.509,Playoffs,TOR,1610612761,"[""S. Ibaka"", ""D. DeRozan"", ""O. Anunoby""]"
Lineups,-202722-203937-1627749-,D. Bertans - K. Anderson - D. Murray,31,13,18,0.419,184.54,16.0,148.0,337.0,0.439,30.0,93.0,0.323,45.0,64.0,0.703,35.0,147.0,182.0,98.0,43.0,35.0,25.0,371.0,96.9,93.4,3.4,99.23,383,0.484,0.508,18.7,0.662,2.28,0.218,0.744,0.493,0.112,0.562,Regular Season,SAS,1610612759,"[""D. Bertans"", ""K. Anderson"", ""D. Murray""]"
Lineups,-201571-202714-1626209-,D. Augustin - S. Mack - M. Hezonja,33,8,25,0.242,184.516667,30.0,153.0,333.0,0.459,33.0,101.0,0.327,64.0,80.0,0.8,45.0,118.0,163.0,92.0,57.0,38.0,22.0,403.0,104.7,98.2,6.5,99.5,385,0.509,0.547,17.3,0.601,1.61,0.307,0.73,0.508,0.148,0.529,Regular Season,ORL,1610612753,"[""D. Augustin"", ""S. Mack"", ""M. Hezonja""]"
Lineups,-2749-201967-203076-,J. Nelson - D. Cunningham - A. Davis,34,20,14,0.588,184.508333,41.0,166.0,324.0,0.512,54.0,126.0,0.429,69.0,89.0,0.775,27.0,141.0,168.0,121.0,57.0,23.0,18.0,455.0,114.0,100.0,14.0,105.75,399,0.596,0.626,21.8,0.729,2.12,0.216,0.677,0.479,0.143,0.568,Regular Season,NOP,1610612740,"[""J. Nelson"", ""D. Cunningham"", ""A. Davis""]"
Lineups,-201147-1628398-1628404-,C. Brewer - K. Kuzma - J. Hart,30,11,19,0.367,184.31,-25.0,148.0,322.0,0.46,28.0,86.0,0.326,72.0,101.0,0.713,45.0,130.0,175.0,78.0,59.0,19.0,18.0,396.0,103.1,109.1,-5.9,100.27,384,0.503,0.54,15.0,0.527,1.32,0.318,0.681,0.505,0.154,0.476,Regular Season,LAL,1610612747,"[""C. Brewer"", ""K. Kuzma"", ""J. Hart""]"
Lineups,-202326-203076-203546-,D. Cousins - A. Davis - I. Clark,27,16,11,0.593,184.263333,75.0,167.0,309.0,0.54,39.0,95.0,0.411,87.0,103.0,0.845,33.0,130.0,163.0,104.0,67.0,32.0,18.0,460.0,116.8,99.2,17.5,101.85,394,0.604,0.649,19.1,0.623,1.55,0.322,0.737,0.552,0.17,0.623,Regular Season,NOP,1610612740,"[""D. Cousins"", ""A. Davis"", ""I. Clark""]"
Lineups,-2207-201937-204060-,J. Johnson - R. Rubio - J. Ingles,27,15,12,0.556,184.225,-53.0,147.0,339.0,0.434,34.0,127.0,0.268,50.0,71.0,0.704,32.0,112.0,144.0,90.0,51.0,40.0,15.0,378.0,97.2,110.2,-13.1,101.61,389,0.484,0.51,17.1,0.612,1.76,0.246,0.692,0.449,0.131,0.429,Regular Season,UTA,1610612762,"[""J. Johnson"", ""R. Rubio"", ""J. Ingles""]"
Lineups,-203488-1627752-1628381-,M. Muscala - T. Prince - J. Collins,39,11,28,0.282,184.081667,-10.0,139.0,341.0,0.408,44.0,124.0,0.355,75.0,96.0,0.781,34.0,125.0,159.0,97.0,56.0,36.0,21.0,397.0,96.6,100.7,-4.1,106.26,411,0.472,0.518,17.5,0.698,1.73,0.246,0.687,0.46,0.136,0.465,Regular Season,ATL,1610612737,"[""M. Muscala"", ""T. Prince"", ""J. Collins""]"
Lineups,-202325-202699-203085-,W. Johnson - T. Harris - A. Rivers,21,12,9,0.571,183.893333,-2.0,159.0,341.0,0.466,54.0,122.0,0.443,43.0,70.0,0.614,32.0,129.0,161.0,85.0,49.0,37.0,17.0,415.0,105.3,105.3,0.0,103.1,394,0.545,0.558,16.2,0.535,1.73,0.249,0.737,0.488,0.124,0.487,Regular Season,LAC,1610612746,"[""W. Johnson"", ""T. Harris"", ""A. Rivers""]"
Lineups,-200768-1627783-1627832-,K. Lowry - P. Siakam - F. VanVleet,48,35,13,0.729,183.846667,8.0,148.0,326.0,0.454,40.0,122.0,0.328,62.0,89.0,0.697,40.0,143.0,183.0,90.0,48.0,25.0,23.0,398.0,101.8,97.5,4.3,103.26,391,0.515,0.545,16.9,0.608,1.88,0.278,0.739,0.511,0.123,0.546,Regular Season,TOR,1610612761,"[""K. Lowry"", ""P. Siakam"", ""F. VanVleet""]"
Lineups,-200755-201573-1627732-,J. Redick - J. Bayless - B. Simmons,26,12,14,0.462,183.56,-15.0,152.0,337.0,0.451,53.0,127.0,0.417,64.0,83.0,0.771,35.0,124.0,159.0,105.0,64.0,23.0,17.0,421.0,103.4,107.4,-3.9,106.3,407,0.53,0.564,18.8,0.691,1.64,0.244,0.703,0.47,0.157,0.467,Regular Season,PHI,1610612755,"[""J. Redick"", ""J. Bayless"", ""B. Simmons""]"
Lineups,-2225-200746-201988-,T. Parker - L. Aldridge - P. Mills,38,23,15,0.605,183.535,-5.0,148.0,340.0,0.435,32.0,106.0,0.302,67.0,83.0,0.807,48.0,115.0,163.0,77.0,45.0,31.0,20.0,395.0,103.9,107.5,-3.6,98.34,380,0.482,0.525,14.8,0.52,1.71,0.328,0.756,0.521,0.118,0.481,Regular Season,SAS,1610612759,"[""T. Parker"", ""L. Aldridge"", ""P. Mills""]"
Lineups,-203935-1626179-1628369-,M. Smart - T. Rozier - J. Tatum,15,9,6,0.6,183.081667,47.0,135.0,311.0,0.434,41.0,133.0,0.308,81.0,102.0,0.794,27.0,116.0,143.0,82.0,34.0,30.0,14.0,392.0,105.9,93.0,13.0,97.14,370,0.5,0.551,16.8,0.607,2.41,0.204,0.718,0.455,0.092,0.555,Playoffs,BOS,1610612738,"[""M. Smart"", ""T. Rozier"", ""J. Tatum""]"
Lineups,-2548-201961-1626159-,D. Wade - W. Ellington - J. Winslow,15,8,7,0.533,183.031667,-51.0,129.0,316.0,0.408,30.0,111.0,0.27,64.0,85.0,0.753,29.0,128.0,157.0,74.0,48.0,27.0,20.0,352.0,94.4,107.5,-13.1,98.08,373,0.456,0.498,15.1,0.574,1.54,0.218,0.72,0.467,0.129,0.435,Regular Season,MIA,1610612748,"[""D. Wade"", ""W. Ellington"", ""J. Winslow""]"
Lineups,-2731-200765-202734-,E. Okafor - R. Rondo - E. Moore,17,13,4,0.765,183.001667,27.0,183.0,380.0,0.482,29.0,87.0,0.333,38.0,46.0,0.826,40.0,149.0,189.0,110.0,45.0,34.0,33.0,433.0,107.4,100.2,7.2,105.97,403,0.52,0.541,19.7,0.601,2.44,0.229,0.729,0.487,0.112,0.557,Regular Season,NOP,1610612740,"[""E. Okafor"", ""R. Rondo"", ""E. Moore""]"
Lineups,-2544-2747-201145-,L. James - J. Smith - J. Green,20,10,10,0.5,182.956667,-9.0,132.0,284.0,0.465,40.0,117.0,0.342,96.0,129.0,0.744,22.0,127.0,149.0,67.0,44.0,20.0,23.0,400.0,107.8,109.4,-1.5,97.73,371,0.535,0.587,14.3,0.508,1.52,0.219,0.714,0.485,0.119,0.5,Playoffs,CLE,1610612739,"[""L. James"", ""J. Smith"", ""J. Green""]"
Lineups,-1938-201988-202722-,M. Ginobili - P. Mills - D. Bertans,31,19,12,0.613,182.835,-12.0,144.0,319.0,0.451,49.0,120.0,0.408,50.0,58.0,0.862,35.0,109.0,144.0,94.0,53.0,19.0,16.0,387.0,104.3,108.1,-3.8,97.14,371,0.528,0.562,18.4,0.653,1.77,0.291,0.698,0.489,0.143,0.489,Regular Season,SAS,1610612759,"[""M. Ginobili"", ""P. Mills"", ""D. Bertans""]"
Lineups,-201563-202683-1626144-,M. Beasley - E. Kanter - E. Mudiay,18,4,14,0.222,182.813333,-53.0,159.0,364.0,0.437,28.0,87.0,0.322,55.0,68.0,0.809,55.0,119.0,174.0,90.0,56.0,29.0,14.0,401.0,102.6,116.4,-13.9,102.53,391,0.475,0.509,16.5,0.566,1.61,0.319,0.737,0.505,0.143,0.416,Regular Season,NYK,1610612752,"[""M. Beasley"", ""E. Kanter"", ""E. Mudiay""]"
