PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,WPA,WPA_PLAYS,SEASON,SEASON_TYPE
1628392,I. Hartenstein,NYK,9.77,223,2022-23,Regular Season
201976,P. Beverley,LAL,9.61,191,2022-23,Regular Season
1629117,W. Gabriel,LAL,9.56,207,2022-23,Regular Season
1631223,D. Roddy,MEM,9.53,221,2022-23,Regular Season
202322,J. Wall,LAC,9.46,215,2022-23,Regular Season
1630570,T. Watford,POR,9.32,253,2022-23,Regular Season
1629056,T. Davis,SAC,9.26,188,2022-23,Regular Season
1630543,I. Jackson,IND,9.18,274,2022-23,Regular Season
1630237,A. Lamb,GSW,9.14,194,2022-23,Regular Season
1626153,D. Wright,WAS,9.1,190,2022-23,Regular Season
1629111,J. Landale,PHX,9.06,257,2022-23,Regular Season
201145,J. Green,DEN,9.05,247,2022-23,Regular Season
1629629,C. Reddish,NYK,9.03,203,2022-23,Regular Season
1630164,J. Wiseman,GSW,9.0,257,2022-23,Regular Season
1629052,O. Brissett,IND,8.86,227,2022-23,Regular Season
1628995,K. Knox II,DET,8.82,198,2022-23,Regular Season
203083,A. Drummond,CHI,8.8,233,2022-23,Regular Season
1627936,A. Caruso,CHI,8.73,189,2022-23,Regular Season
203488,M. Muscala,OKC,8.64,171,2022-23,Regular Season
203914,G. Harris,ORL,8.6,165,2022-23,Regular Season
1629638,N. Alexander-Walker,UTA,8.59,171,2022-23,Regular Season
1629134,K. Nunn,LAL,8.57,226,2022-23,Regular Season
1631109,M. Williams,CHA,8.56,227,2022-23,Regular Season
203115,W. Barton,WAS,8.52,175,2022-23,Regular Season
1630552,J. Johnson,ATL,8.38,207,2022-23,Regular Season
1630214,X. Tillman,MEM,8.2,237,2022-23,Regular Season
1630692,J. Goodwin,WAS,8.19,211,2022-23,Regular Season
1630702,J. Hardy,DAL,8.13,211,2022-23,Regular Season
203500,S. Adams,MEM,8.08,204,2022-23,Regular Season
1631323,S. Fontecchio,UTA,8.06,150,2022-23,Regular Season
1629642,N. Little,POR,8.02,167,2022-23,Regular Season
1627884,D. Jones Jr.,CHI,7.88,177,2022-23,Regular Season
1630587,I. Livers,DET,7.8,152,2022-23,Regular Season
1629723,J. Konchar,MEM,7.77,166,2022-23,Regular Season
1629139,Y. Watanabe,BKN,7.64,148,2022-23,Regular Season
1631128,C. Braun,DEN,7.54,182,2022-23,Regular Season
201609,G. Dragic,CHI,7.46,172,2022-23,Regular Season
1629013,L. Shamet,PHX,7.4,158,2022-23,Regular Season
1629002,C. Metu,SAC,7.31,183,2022-23,Regular Season
203210,J. Green,GSW,7.29,188,2022-23,Regular Season
1627739,K. Dunn,UTA,7.27,157,2022-23,Regular Season
1630197,A. Pokusevski,OKC,7.14,129,2022-23,Regular Season
1630526,J. Robinson-Earl,OKC,7.12,144,2022-23,Regular Season
1630205,L. Stevens,CLE,7.1,169,2022-23,Regular Season
1628964,M. Bamba,ORL,7.05,158,2022-23,Regular Season
1628410,E. Sumner,BKN,7.01,223,2022-23,Regular Season
1629641,R. Langford,SAS,6.92,160,2022-23,Regular Season
