GROUP_ID,PLAYERS,TEAM_ABBREVIATION,POSS_OFF,POSS_DEF,NET_ACTUAL,NET_EXPECTED,CHEMISTRY,SEASON,SEASON_TYPE
-2594-203109-203497-1626220-1628378-,K. Korver - J. Crowder - R. Gobert - R. O'Neale - D. Mitchell,UTA,324,315,1.8,4.9,-3.1,2018-19,Regular Season
-101162-201568-201976-202340-202699-,M. Gortat - D. Gallinari - P. Beverley - A. Bradley - T. Harris,LAC,252,252,-4.7,-1.5,-3.2,2018-19,Regular Season
-201933-202704-203083-203493-1626169-,B. Griffin - R. Jackson - A. Drummond - R. Bullock Jr. - S. Johnson,DET,230,229,-3.3,-0.1,-3.2,2018-19,Regular Season
-202331-203471-203500-203518-203924-,P. George - D. Schröder - S. Adams - A. Abrines - J. Grant,OKC,106,107,2.2,5.6,-3.3,2018-19,Regular Season
-201567-202688-1626204-1626224-1629012-,K. Love - B. Knight - L. Nance Jr. - C. Osman - C. Sexton,CLE,144,140,-15.7,-12.3,-3.4,2018-19,Regular Season
-202683-203501-203943-1626144-1628995-,E. Freedom - T. Hardaway Jr. - N. Vonleh - E. Mudiay - K. Knox II,NYK,349,344,-15.8,-12.4,-3.4,2018-19,Regular Season
-203546-203901-203944-1626143-1629026-,I. Clark - E. Payton - J. Randle - J. Okafor - K. Williams,NOP,125,123,-4.8,-1.3,-3.5,2018-19,Regular Season
-200746-200752-201942-202722-1627854-,L. Aldridge - R. Gay - D. DeRozan - D. Bertans - B. Forbes,SAS,187,189,-2.1,1.6,-3.6,2018-19,Regular Season
-2738-201142-201939-202691-1626172-,A. Iguodala - K. Durant - S. Curry - K. Thompson - K. Looney,GSW,307,308,9.4,13.5,-4.0,2018-19,Regular Season
-200768-201188-201980-202695-1627783-,K. Lowry - M. Gasol - D. Green - K. Leonard - P. Siakam,TOR,336,330,11.9,16.0,-4.1,2018-19,Regular Season
-201599-202083-203084-1628372-1629029-,D. Jordan - W. Matthews - H. Barnes - D. Smith Jr. - L. Dončić,NYK,875,862,-8.4,-4.3,-4.1,2018-19,Regular Season
-201143-202681-202694-1627759-1628369-,A. Horford - K. Irving - M. Morris Sr. - J. Brown - J. Tatum,BOS,180,183,0.6,4.8,-4.2,2018-19,Regular Season
-2730-202322-202693-203078-203490-,D. Howard - J. Wall - M. Morris - B. Beal - O. Porter Jr.,WAS,280,282,-8.3,-4.1,-4.2,2018-19,Regular Season
