GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612738,BOS,Boston Celtics,203953,"Parker, Jabari",On,4,59.0,13.0,116.0,100.8,15.1,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",On,5,67.0,-9.3,115.6,126.1,-10.6,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,203935,"Smart, Marcus",On,5,183.0,-12.1,118.0,131.3,-13.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",On,5,185.0,-15.1,114.9,133.2,-18.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,202684,"Thompson, Tristan",On,5,132.0,-31.6,108.3,140.8,-32.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,202689,"Walker, Kemba",On,3,91.0,-28.5,106.4,135.3,-28.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629682,"Waters, Tremont",On,3,6.0,8.1,80.0,68.8,11.3,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629057,"Williams III, Robert",On,3,46.0,14.7,118.9,106.5,12.5,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629684,"Williams, Grant",On,5,57.0,4.2,119.3,115.1,4.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1627759,"Brown, Jaylen",Off,5,240.0,-11.2,115.9,128.0,-12.1,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629035,"Edwards, Carsen",Off,5,235.0,-11.7,116.6,129.2,-12.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629605,"Fall, Tacko",Off,5,239.0,-11.4,116.2,128.5,-12.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,203095,"Fournier, Evan",Off,5,73.0,-6.5,97.4,105.3,-7.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628436,"Kornet, Luke",Off,5,235.0,-11.7,116.6,129.2,-12.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629641,"Langford, Romeo",Off,5,131.0,-19.8,111.4,134.1,-22.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630174,"Nesmith, Aaron",Off,5,165.0,-14.0,115.6,130.6,-14.9,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628400,"Ojeleye, Semi",Off,5,228.0,-10.7,117.6,129.3,-11.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,203953,"Parker, Jabari",Off,5,181.0,-19.1,115.3,135.6,-20.4,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1630202,"Pritchard, Payton",Off,5,173.0,-12.0,114.1,127.3,-13.2,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,203935,"Smart, Marcus",Off,5,57.0,-8.4,104.5,112.5,-8.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1628369,"Tatum, Jayson",Off,5,55.0,1.7,112.1,104.1,8.0,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,202684,"Thompson, Tristan",Off,5,108.0,13.8,121.1,109.4,11.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,202689,"Walker, Kemba",Off,5,149.0,-0.6,121.1,122.6,-1.5,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629682,"Waters, Tremont",Off,5,234.0,-11.7,116.8,129.5,-12.7,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629057,"Williams III, Robert",Off,5,194.0,-17.3,114.0,132.1,-18.1,Boston Celtics,Playoffs
On/Off Court,1610612738,BOS,Boston Celtics,1629684,"Williams, Grant",Off,5,183.0,-16.0,113.9,129.7,-15.9,Boston Celtics,Playoffs
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628386,"Allen, Jarrett",On,51,1544.0,-8.7,106.1,115.2,-9.1,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629716,"Bolden, Marques",On,6,29.0,8.4,82.8,70.5,12.3,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1626188,"Cook, Quinn",On,7,95.0,-2.5,102.5,105.6,-3.1,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,203521,"Dellavedova, Matthew",On,13,224.0,-3.9,108.8,111.9,-3.1,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628422,"Dotson, Damyean",On,46,907.0,-11.4,97.0,109.4,-12.5,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,203083,"Drummond, Andre",On,25,722.0,-7.2,105.3,113.2,-7.8,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,203957,"Exum, Dante",On,6,116.0,2.5,99.6,96.0,3.6,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1627812,"Ferrell, Yogi",On,2,41.0,-13.0,94.0,104.7,-10.6,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629636,"Garland, Darius",On,54,1790.0,-6.4,105.7,112.3,-6.6,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628392,"Hartenstein, Isaiah",On,16,287.0,-5.9,109.0,111.9,-2.9,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629662,"Kabengele, Mfiondu",On,16,186.0,-19.1,96.8,112.7,-16.0,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201567,"Love, Kevin",On,25,622.0,-5.6,107.0,113.4,-6.5,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1627748,"Maker, Thon",On,8,76.0,-11.3,92.3,103.2,-10.9,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629725,"Martin, Jeremiah",On,9,75.0,-16.6,100.6,117.3,-16.7,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201580,"McGee, JaVale",On,33,503.0,-10.3,98.3,108.1,-9.8,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1626204,"Nance Jr., Larry",On,35,1091.0,-6.0,101.7,107.4,-5.6,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630171,"Okoro, Isaac",On,67,2173.0,-9.0,104.6,113.4,-8.7,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1626224,"Osman, Cedi",On,59,1511.0,-10.3,103.3,114.2,-11.0,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1627752,"Prince, Taurean",On,29,688.0,-7.6,108.1,115.1,-6.9,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629012,"Sexton, Collin",On,60,2115.0,-8.6,104.8,114.0,-9.2,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630205,"Stevens, Lamar",On,40,499.0,-11.1,100.1,110.5,-10.4,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630271,"Thomas, Brodric",On,28,375.0,-7.4,104.0,110.3,-6.3,Cleveland Cavaliers,Regular Season
On/Off Court,1610612739,CLE,Cleveland Cavaliers,2760,"Varejao, Anderson",On,5,36.0,-44.1,85.9,123.5,-37.6,Cleveland Cavaliers,Regular Season
