PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
203471,D. Schröder,BKN,0.57,-0.02,0.55,8787,2024-25,Regular Season
1630539,K. Jones,LAC,0.11,0.42,0.53,1909,2024-25,Regular Season
202704,R. Jackson,PHI,0.23,0.3,0.53,1555,2024-25,Regular Season
1642285,C. Spencer,MEM,0.78,-0.26,0.52,1064,2024-25,Regular Season
1631097,B. Mathurin,IND,0.34,0.17,0.51,9038,2024-25,Regular Season
203992,B. Bogdanović,ATL,-0.11,0.62,0.51,5660,2024-25,Regular Season
1642384,I. Crawford,SAC,0.4,0.11,0.51,176,2024-25,Regular Season
1628467,M. Kleber,DAL,0.14,0.37,0.51,2676,2024-25,Regular Season
1629637,J. Hayes,LAL,-0.98,1.48,0.5,4550,2024-25,Regular Season
1630169,T. Haliburton,IND,2.77,-2.28,0.49,10285,2024-25,Regular Season
201942,D. DeRozan,SAC,1.6,-1.13,0.47,11465,2024-25,Regular Season
203484,K. Caldwell-Pope,ORL,-0.48,0.94,0.46,9180,2024-25,Regular Season
202331,P. George,PHI,-1.11,1.56,0.45,5491,2024-25,Regular Season
1641772,N. Tomlin,CLE,-0.39,0.82,0.43,276,2024-25,Regular Season
1630163,L. Ball,CHA,2.18,-1.75,0.43,6376,2024-25,Regular Season
1630178,T. Maxey,PHI,1.69,-1.27,0.42,8073,2024-25,Regular Season
1629659,T. Horton-Tucker,CHI,0.41,0.01,0.42,3181,2024-25,Regular Season
1630811,K. Wallace,ATL,-0.39,0.8,0.41,2105,2024-25,Regular Season
1641717,C. Wallace,OKC,-0.09,0.48,0.39,7961,2024-25,Regular Season
1630183,J. McDaniels,MIN,-0.62,1.01,0.39,10693,2024-25,Regular Season
1631104,B. Wesley,SAS,0.4,-0.01,0.39,2841,2024-25,Regular Season
1631110,J. Sochan,SAS,0.09,0.3,0.39,5765,2024-25,Regular Season
1641740,J. Clark,MIN,0.68,-0.3,0.38,2186,2024-25,Regular Season
