PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_RAPM_3YR,D_RAPM_3YR,RAPM_3YR,RAPM_3YR_POSS,WPA
1630621,Hunter Dickinson,1610612740,NOP,25.0,Regular Season,5,8.5,0.2,2.4,1.0,0.4,0.6,0.4,0.2,0.4,0.6,1.2,0.357,0.0,1.0,0.357,0.403,0.162,0.065,0.67,10.0,15.0,0.036,0.063,0.049,100.0,135.7,-35.7,109.61,0.01,-7.4,96.9,136.7,-39.8,0.162,-35.7,-3.9,-31.8,,,-8.21,-1.91,-10.12,-0.09,0.4983,-0.1412,14.0,0.7,20.7,-0.47,-0.64,-1.11,197.0,-0.52,-0.72,-1.24,197.0,0.24
1630568,Luka Garza,1610612738,BOS,27.0,Playoffs,7,8.5,0.429,4.4,1.7,1.0,0.7,0.9,0.0,0.1,0.1,2.0,0.5,0.308,0.875,0.6,0.659,0.179,0.154,6.0,19.4,3.2,0.109,0.106,0.108,117.4,108.4,9.0,97.33,0.087,1.9,117.6,106.2,11.4,0.183,9.0,1.7,7.3,,,2.63,-0.45,2.18,0.06,0.5461,0.0539,20.0,4.0,26.9,,,,,,,,,
1641748,Andre Jackson Jr.,1610612749,MIL,24.0,Regular Season,48,8.5,0.25,2.4,1.5,0.5,1.0,0.9,0.4,0.1,0.6,0.9,0.328,0.25,0.625,0.391,0.425,0.17,0.16,1.39,20.7,14.9,0.059,0.126,0.09,103.2,110.6,-7.5,100.27,0.044,-1.5,103.3,112.8,-9.5,0.174,-7.5,-5.9,-1.6,0.0,0.7666666666666667,-5.38,-0.55,-5.93,-0.39,0.5592,-0.1684,119.0,2.1,24.6,-1.25,-0.09,-1.34,1658.0,-1.61,-0.95,-2.56,8151.0,0.89
1642419,Jamison Battle,1610612761,TOR,25.0,Regular Season,61,8.5,0.574,3.1,1.5,0.3,1.1,0.4,0.1,0.0,0.3,0.7,0.51,0.412,0.643,0.631,0.635,0.135,0.062,1.26,12.4,9.8,0.04,0.124,0.084,112.6,105.9,6.7,102.08,0.079,1.5,114.5,107.0,7.4,0.141,6.7,2.3,4.4,69.8,5.655,-1.61,-1.11,-2.72,-0.1,0.5615,0.0739,144.0,1.1,17.8,0.74,0.37,1.11,2149.0,-0.59,-0.94,-1.53,6551.0,3.63
1642389,Zyon Pullin,1610612750,MIN,25.0,Regular Season,5,8.5,0.8,4.6,0.6,0.2,0.4,1.8,0.2,0.0,0.6,1.2,0.692,0.333,1.0,0.731,0.779,0.167,0.281,3.0,33.3,11.1,0.03,0.035,0.033,121.4,118.9,2.5,108.77,0.11,1.2,130.0,114.4,15.6,0.178,2.5,-0.4,2.9,150.0,0.2533333333333333,1.82,1.19,3.0,0.05,0.5506,0.1802,13.0,6.7,29.8,0.37,-0.1,0.27,190.0,0.39,-0.15,0.24,200.0,0.45
1642346,Ryan Dunn,1610612756,PHX,23.0,Playoffs,4,8.4,0.0,0.0,1.5,0.0,1.5,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.086,0.095,0.67,22.2,33.3,0.0,0.158,0.087,88.4,104.5,-16.1,96.62,-0.011,-2.3,86.4,109.3,-22.9,0.089,-16.1,-18.0,1.9,,,-10.77,-5.25,-16.02,-0.12,0.5376,-0.5376,4.0,0.0,12.6,,,,,,,,,
200768,Kyle Lowry,1610612755,PHI,40.0,Regular Season,14,8.4,0.643,1.2,0.6,0.0,0.6,0.8,0.1,0.1,0.3,0.6,0.16,0.16,0.833,0.24,0.308,0.106,0.131,2.75,25.6,9.3,0.0,0.065,0.032,98.5,116.5,-18.0,105.12,0.013,-2.8,100.0,114.4,-14.4,0.11,-18.0,0.4,-18.4,-300.0,0.3583333333333333,-7.06,-1.49,-8.55,-0.19,0.5339,-0.2939,25.0,0.3,15.6,-0.89,-0.31,-1.2,513.0,-2.0,1.16,-0.84,10057.0,0.07
1641747,DaRon Holmes II,1610612743,DEN,23.0,Regular Season,25,8.4,0.68,3.7,1.4,0.3,1.1,0.6,0.0,0.2,0.5,0.8,0.508,0.444,0.786,0.672,0.692,0.171,0.125,1.33,16.8,12.6,0.04,0.113,0.08,107.9,110.9,-3.0,96.57,0.095,-0.6,108.3,113.1,-4.8,0.177,-3.0,5.7,-8.7,-38.9,8.803333333333333,0.77,-1.46,-0.7,0.06,0.5575,0.1146,61.0,3.2,23.8,-0.12,-0.04,-0.16,819.0,0.21,-0.05,0.16,819.0,0.99
1631243,Mouhamed Gueye,1610612737,ATL,23.0,Playoffs,6,8.4,0.333,1.7,1.7,0.8,0.8,0.7,0.2,0.0,0.2,1.5,0.286,0.1,0.5,0.321,0.336,0.127,0.121,4.0,20.0,5.0,0.075,0.116,0.091,91.5,123.1,-31.6,99.88,0.008,-5.2,92.5,123.4,-31.0,0.135,-31.6,-15.6,-16.0,,,-6.06,-3.72,-9.78,-0.1,0.5705,-0.249,14.0,0.6,18.3,,,,,,,,,
1630631,Jose Alvarado,1610612752,NYK,28.0,Playoffs,13,8.4,0.846,4.2,0.9,0.0,0.9,1.1,0.7,0.2,0.6,0.8,0.488,0.409,1.0,0.593,0.609,0.196,0.192,1.75,21.2,12.1,0.0,0.098,0.051,113.8,83.7,30.1,98.66,0.145,5.0,115.3,83.6,31.7,0.206,30.1,17.1,13.0,,,2.26,3.97,6.22,0.23,0.5293,0.0625,49.0,6.0,32.2,,,,,,,,,
203967,Dario Saric,1610612758,SAC,32.0,Regular Season,5,8.2,0.2,1.0,1.2,0.2,1.0,0.4,0.0,0.0,0.4,0.6,0.167,0.333,1.0,0.25,0.363,0.1,0.061,1.0,18.2,18.2,0.03,0.114,0.078,104.7,104.7,0.0,98.91,0.015,0.0,106.6,105.6,1.0,0.103,0.0,-10.3,10.3,166.7,1.45,-7.16,-2.97,-10.13,-0.09,0.574,-0.324,6.0,0.0,12.2,-0.14,0.33,0.19,167.0,-1.09,0.25,-0.84,5625.0,0.14
1641871,Duop Reath,1610612757,POR,29.0,Regular Season,32,8.1,0.5,2.9,1.2,0.3,0.9,0.3,0.2,0.3,0.2,0.9,0.446,0.418,0.833,0.601,0.613,0.13,0.059,1.43,10.8,7.5,0.037,0.095,0.067,103.0,109.4,-6.4,104.4,0.067,-1.2,102.7,110.9,-8.2,0.134,-6.4,-1.7,-4.7,108.3,1.971666666666667,-1.37,0.66,-0.71,0.08,0.5636,0.0378,74.0,0.6,16.5,-0.87,0.39,-0.48,1095.0,-0.51,-0.99,-1.5,8062.0,1.67
1642866,Joan Beringer,1610612750,MIN,19.0,Regular Season,40,7.9,0.55,3.9,2.3,1.1,1.2,0.3,0.2,0.7,0.3,1.2,0.663,0.0,0.703,0.663,0.683,0.156,0.052,1.09,8.8,8.0,0.141,0.135,0.138,117.8,115.5,2.3,105.74,0.107,0.6,119.7,115.0,4.7,0.163,2.3,3.2,-0.9,-24.5,4.32,0.02,1.09,1.11,0.23,0.6433,0.0199,98.0,1.5,20.7,1.01,-0.79,0.22,1364.0,1.35,-0.93,0.42,1364.0,1.59
1631120,JD Davison,1610612745,HOU,23.0,Regular Season,28,7.8,0.821,2.5,1.2,0.1,1.1,1.3,0.2,0.2,0.3,0.6,0.375,0.25,0.684,0.438,0.477,0.153,0.219,5.0,30.4,6.1,0.014,0.131,0.074,108.7,106.1,2.6,97.79,0.09,0.6,109.4,105.6,3.8,0.159,2.6,5.4,-2.8,94.3,4.7683333333333335,-1.96,1.19,-0.77,0.07,0.5326,-0.0951,64.0,3.5,26.8,-0.12,0.34,0.22,878.0,-0.63,0.46,-0.17,1405.0,1.06
