PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
204020,Tyler Johnson,SAS,-1.13,0.9,-0.23,2021-22,-1.05,0.96,-0.09,194,Regular Season
202699,Tobias Harris,PHI,0.04,-0.28,-0.24,2021-22,0.03,-0.3,-0.27,5126,Regular Season
203484,Kentavious Caldwell-Pope,WAS,-0.24,-0.01,-0.25,2021-22,-0.24,0.01,-0.23,4804,Regular Season
1629216,Gabe Vincent,MIA,-0.13,-0.12,-0.25,2021-22,-0.13,-0.14,-0.27,3192,Regular Season
201961,Wayne Ellington,LAL,0.0,-0.27,-0.27,2021-22,0.0,-0.26,-0.26,1699,Regular Season
202339,Eric Bledsoe,POR,-0.82,0.55,-0.27,2021-22,-0.77,0.53,-0.24,2820,Regular Season
1629109,Gary Clark,NOP,-0.44,0.16,-0.28,2021-22,-0.43,0.18,-0.25,784,Regular Season
202687,Bismack Biyombo,PHX,-0.41,0.12,-0.29,2021-22,-0.43,0.16,-0.27,1042,Regular Season
203210,JaMychal Green,DEN,-0.42,0.12,-0.3,2021-22,-0.44,0.13,-0.31,2224,Regular Season
1630678,Terry Taylor,IND,0.84,-1.14,-0.3,2021-22,0.75,-1.11,-0.36,1500,Regular Season
1627736,Malik Beasley,MIN,0.24,-0.54,-0.3,2021-22,0.24,-0.54,-0.3,4253,Regular Season
1629060,Rui Hachimura,WAS,-0.04,-0.27,-0.31,2021-22,-0.06,-0.27,-0.33,1931,Regular Season
1630567,Scottie Barnes,TOR,-0.21,-0.1,-0.31,2021-22,-0.22,-0.09,-0.31,5282,Regular Season
1629014,Anfernee Simons,POR,0.77,-1.08,-0.31,2021-22,0.74,-1.13,-0.39,3440,Regular Season
203463,Ben McLemore,POR,0.07,-0.38,-0.31,2021-22,0.07,-0.37,-0.3,2678,Regular Season
202722,Davis Bertans,DAL,-0.22,-0.09,-0.31,2021-22,-0.19,-0.08,-0.27,1652,Regular Season
1629632,Coby White,CHI,0.24,-0.56,-0.32,2021-22,0.23,-0.57,-0.34,3464,Regular Season
1630296,Braxton Key,DET,-1.27,0.95,-0.32,2021-22,-1.28,0.97,-0.31,420,Regular Season
201937,Ricky Rubio,IND,-0.47,0.14,-0.33,2021-22,-0.42,0.09,-0.33,2024,Regular Season
203107,Tomas Satoransky,WAS,-0.36,0.03,-0.33,2021-22,-0.32,0.03,-0.29,1848,Regular Season
1627823,Juancho Hernangomez,UTA,-0.57,0.24,-0.33,2021-22,-0.57,0.29,-0.28,892,Regular Season
200782,P.J. Tucker,MIA,-0.34,0.01,-0.33,2021-22,-0.33,0.01,-0.32,3976,Regular Season
1629164,Brandon Goodwin,CLE,-0.39,0.06,-0.33,2021-22,-0.39,0.04,-0.35,986,Regular Season
1627814,Damion Lee,GSW,-0.43,0.1,-0.33,2021-22,-0.41,0.11,-0.3,2590,Regular Season
203095,Evan Fournier,NYK,0.03,-0.38,-0.35,2021-22,-0.0,-0.37,-0.37,4822,Regular Season
1630182,Josh Green,DAL,-0.45,0.1,-0.35,2021-22,-0.49,0.12,-0.37,2132,Regular Season
1630532,Franz Wagner,ORL,-0.05,-0.3,-0.35,2021-22,-0.07,-0.3,-0.37,5076,Regular Season
1628373,Frank Ntilikina,DAL,-0.57,0.21,-0.36,2021-22,-0.56,0.21,-0.35,1400,Regular Season
203469,Cody Zeller,POR,0.11,-0.47,-0.36,2021-22,0.08,-0.46,-0.38,742,Regular Season
203115,Will Barton,DEN,-0.13,-0.24,-0.37,2021-22,-0.11,-0.27,-0.38,4706,Regular Season
1628975,Jevon Carter,MIL,-0.31,-0.06,-0.37,2021-22,-0.3,-0.07,-0.37,1890,Regular Season
1630192,Zeke Nnaji,DEN,0.08,-0.45,-0.37,2021-22,0.04,-0.42,-0.38,1422,Regular Season
200765,Rajon Rondo,CLE,-0.48,0.11,-0.37,2021-22,-0.45,0.05,-0.4,1468,Regular Season
1627739,Kris Dunn,POR,-0.86,0.48,-0.38,2021-22,-0.87,0.44,-0.43,707,Regular Season
204060,Joe Ingles,POR,0.02,-0.42,-0.4,2021-22,0.03,-0.45,-0.42,2299,Regular Season
