PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_TYPE
1630171,Isaac Okoro,1610612741,CHI,25.0,42,1064.0,203,137,66,54,9,20,42,12,7,19,0.632,0.368,2,33,35,13,35,0.057,0.943,1.0,0.371,Regular Season
1642268,Isaiah Collier,1610612762,UTA,21.0,40,971.0,107,32,75,54,1,7,17,8,4,12,0.667,0.333,0,3,3,2,3,0.0,1.0,1.0,0.667,Regular Season
1628392,Isaiah Hartenstein,1610612760,OKC,27.0,26,684.0,173,125,48,62,1,86,199,15,5,20,0.75,0.25,23,42,64,46,65,0.354,0.646,0.985,0.708,Regular Season
1630543,Isaiah Jackson,1610612754,IND,24.0,35,588.0,160,111,49,70,0,71,159,11,5,16,0.688,0.313,15,15,30,18,30,0.5,0.5,1.0,0.6,Regular Season
1630198,Isaiah Joe,1610612760,OKC,26.0,41,829.0,96,37,59,60,5,16,36,5,9,14,0.357,0.643,0,10,10,3,10,0.0,1.0,1.0,0.3,Regular Season
1630587,Isaiah Livers,1610612756,PHX,27.0,25,272.0,55,35,20,18,0,8,20,4,2,6,0.667,0.333,0,3,3,2,3,0.0,1.0,1.0,0.667,Regular Season
1641815,Isaiah Stevens,1610612758,SAC,25.0,2,23.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1630191,Isaiah Stewart,1610612765,DET,24.0,44,1032.0,411,309,102,25,0,71,169,8,7,15,0.533,0.467,19,48,67,50,67,0.284,0.716,1.0,0.746,Regular Season
1627826,Ivica Zubac,1610612746,LAC,28.0,42,1295.0,392,304,88,41,0,118,285,13,7,20,0.65,0.35,43,60,102,68,103,0.417,0.583,0.99,0.66,Regular Season
1631120,JD Davison,1610612745,HOU,23.0,12,116.0,18,10,8,8,0,2,4,0,2,2,0.0,1.0,1,0,1,1,1,1.0,0.0,1.0,1.0,Regular Season
